Food code;Main food description;Additional food description;WWEIA Category number;WWEIA Category description
11512020;Hot chocolate / cocoa, made with lowfat (1%) or fat free (skim) milk;;1208;Flavored milk, nonfat
11512030;Hot chocolate / cocoa, made with non-dairy milk;almond, coconut, rice, or soy milk;1902;Plant-based milk
11512100;Hot chocolate / cocoa, with whipped cream;with marshmallows;1204;Flavored milk, reduced fat
11513380;Chocolate milk, Nesquik, NS as to type of milk;;1204;Flavored milk, reduced fat
11513385;Chocolate milk, Nesquik, made with non-dairy milk;"almond, coconut, rice, or soy milk; made with water";1902;Plant-based milk
11513801;Chocolate milk, reduced sugar, whole;sugar free;1202;Flavored milk, whole
11513802;Chocolate milk, reduced sugar, reduced fat (2%);sugar free;1204;Flavored milk, reduced fat
11513803;Chocolate milk, reduced sugar, low fat (1%);sugar free;1206;Flavored milk, lowfat
11513804;Chocolate milk, reduced sugar, fat free (skim);sugar free;1208;Flavored milk, nonfat
11514100;Hot chocolate / cocoa, dry mix, made with water;;1208;Flavored milk, nonfat
11514110;Hot chocolate / cocoa, dry mix, made with whole or reduced fat (2%) milk;;1204;Flavored milk, reduced fat
11514130;Hot chocolate / cocoa, dry mix, made with lowfat (1%) or fat free (skim) milk;;1208;Flavored milk, nonfat
11514150;Hot chocolate / cocoa, dry mix , made with non-dairy milk;almond, coconut, rice, or soy milk;1902;Plant-based milk
11514160;Hot chocolate / cocoa, dry mix, made with water, with whipped cream;"made with any milk; with marshmallows";1204;Flavored milk, reduced fat
11514310;Hot chocolate / cocoa, dry mix, reduced sugar, made with water;sugar free;1208;Flavored milk, nonfat
11514320;Hot chocolate / cocoa, dry mix, reduced sugar, made with whole or reduced fat (2%) milk;sugar free;1204;Flavored milk, reduced fat
11514325;Hot chocolate / cocoa, reduced sugar, made with non-dairy milk;"sugar free; almond, coconut, rice, or soy milk";1902;Plant-based milk
11514330;Hot chocolate / cocoa, reduced sugar, made with whole or reduced fat (2%) milk;"sugar free; NS as to milk";1204;Flavored milk, reduced fat
11514340;Hot chocolate / cocoa, dry mix, reduced sugar, made with lowfat (1%) or fat free (skim) milk;sugar free;1208;Flavored milk, nonfat
11514350;Hot chocolate / cocoa, reduced sugar, made with lowfat (1%) or fat free (skim) milk;sugar free;1208;Flavored milk, nonfat
11514360;Hot chocolate / cocoa, dry mix, reduced sugar, made with non-dairy milk;"almond, coconut, rice, or soy milk; sugar free";1902;Plant-based milk
11519040;Strawberry milk, NFS;other flavors;1204;Flavored milk, reduced fat
11519050;Strawberry milk, whole;other flavors;1202;Flavored milk, whole
11519105;Strawberry milk, reduced fat (2%);other flavors;1204;Flavored milk, reduced fat
11519200;Strawberry milk, low fat (1%);other flavors;1206;Flavored milk, lowfat
11519205;Strawberry milk, fat free  (skim);other flavors;1208;Flavored milk, nonfat
11519210;Strawberry milk, reduced sugar;other flavors;1206;Flavored milk, lowfat
11526000;Milk, malted;Ovaltine;1204;Flavored milk, reduced fat
11531000;Eggnog;"eggnog, NFS; made with whole milk";1402;Milk shakes and other dairy drinks
11541110;Milk shake, home recipe, chocolate;"regular ice cream and/or whole or 2% reduced fat milk; restaurant or ice cream shop; frozen mix";1402;Milk shakes and other dairy drinks
11541120;Milk shake, home recipe, flavors other than chocolate;"regular ice cream and/or whole or 2% reduced fat milk; restaurant or ice cream shop; frozen mix; NS as to flavor";1402;Milk shakes and other dairy drinks
11541130;Milk shake, home recipe, chocolate, light;"reduced fat ice cream and/or 1% low fat, skim, nonfat, or fat free milk; restaurant or ice cream shop";1402;Milk shakes and other dairy drinks
11541135;Milk shake, home recipe, flavors other than chocolate, light;"reduced fat ice cream and/or 1% low fat, skim, nonfat, fat free milk; restaurant or ice cream shop; NS as to flavor";1402;Milk shakes and other dairy drinks
11541400;Milk shake with malt;malted milk with ice cream;1402;Milk shakes and other dairy drinks
11542100;Milk shake, fast food, chocolate;"Burger King; Dairy Queen; McDonald's; Wendy's Frosty Shakes; Jack in the Box; Arby's; Dunkin Donuts; Sonic; from other place";1402;Milk shakes and other dairy drinks
11542200;Milk shake, fast food, flavors other than chocolate;"Burger King; Dairy Queen; McDonald's; Wendy's Frosty Shakes; Jack in the Box; Arby's; Dunkin Donuts; Sonic; from other place; NS as to flavor or type";1402;Milk shakes and other dairy drinks
11543000;Milk shake, bottled, chocolate;"canned; reconstituted dry mix; Hershey's; Chug";1402;Milk shakes and other dairy drinks
11543010;Milk shake, bottled, flavors other than chocolate;"canned; reconstituted dry mix; Hershey's; Chug";1402;Milk shakes and other dairy drinks
11551050;Licuado or Batido;milk fruit drink;7220;Smoothies and grain drinks
11553100;Fruit smoothie, NFS;;7220;Smoothies and grain drinks
11553110;Fruit smoothie, with whole fruit and dairy;"with milk, yogurt, ice cream, or sherbet; home recipe; restaurant; smoothie shop; juice bar; Jamba Juice; Smoothie King";7220;Smoothies and grain drinks
11553120;Fruit smoothie, with whole fruit and dairy, added protein;"with milk, yogurt, ice cream, or sherbet; home recipe; restaurant; smoothie shop; juice bar; Jamba Juice; Smoothie King";7220;Smoothies and grain drinks
11553130;Fruit smoothie juice drink, with dairy;"milk, yogurt, ice cream, or sherbet; fast food smoothie, NFS; Dairy Queen; Jack-in-the-Box; frozen mix; Orange Julius; Julius, all flavors; from other place; McDonald's Smoothies, NFS";7220;Smoothies and grain drinks
11560000;Chocolate milk drink;"Yoo-hoo; other flavors";1402;Milk shakes and other dairy drinks
11710000;Infant formula, NFS;;9404;Formula, prepared from powder
11710030;Infant formula, Similac, NFS;NS as to variety;9404;Formula, prepared from powder
11710051;Infant formula, Similac Alimentum, ready-to-feed;;9402;Formula, ready-to-feed
11710056;Infant formula, Similac Alimentum, powder, made with water;;9404;Formula, prepared from powder
11710351;Infant formula, Similac Advance, ready-to-feed;Similac varieties Pro-Advance, Neuro Support, Supplementation, Lamehadrin;9402;Formula, ready-to-feed
11710357;Infant formula, Similac Advance, powder, made with tap water;Similac varieties Pro-Advance, Neuro Support, Supplementation, Lamehadrin;9404;Formula, prepared from powder
11710358;Infant formula, Similac Advance, powder, made with bottled water;Similac varieties Pro-Advance, Neuro Support, Supplementation, Lamehadrin;9404;Formula, prepared from powder
11710359;Infant formula, Similac Advance, powder, made with baby water;"Similac varieties Pro-Advance, Neuro Support, Supplementation, Lamehadrin; other water";9404;Formula, prepared from powder
11710371;Infant formula, Similac Sensitive, ready-to-feed;Similac varieties Pro-Sensitive, Total Comfort, Pro-Total Comfort;9402;Formula, ready-to-feed
11710377;Infant formula, Similac Sensitive, powder, made with tap water;Similac varieties Pro-Sensitive, Total Comfort, Pro-Total Comfort;9404;Formula, prepared from powder
11710378;Infant formula, Similac Sensitive, powder, made with bottled water;Similac varieties Pro-Sensitive, Total Comfort, Pro-Total Comfort;9404;Formula, prepared from powder
11710379;Infant formula, Similac Sensitive, powder, made with baby water;"Similac varieties Pro-Sensitive, Total Comfort, Pro-Total Comfort; other water";9404;Formula, prepared from powder
11710381;Infant formula, Similac for Spit-Up, ready-to-feed;;9402;Formula, ready-to-feed
11710383;Infant formula, Similac for Spit-Up, powder, made with water;;9404;Formula, prepared from powder
11710481;Toddler formula, Similac Go and Grow;"Similac varieties Go and Grow Sensitive, Pure Bliss Toddler, Lamehadrin Toddler; EleCare Jr";9404;Formula, prepared from powder
11710605;Infant formula, Enfamil, NFS;NS as to variety;9404;Formula, prepared from powder
11710631;Infant formula, Enfamil Infant, ready-to-feed;Enfamil varieties NeuroPro Infant, Premium Infant, Enspire, Reguline;9402;Formula, ready-to-feed
11710637;Infant formula, Enfamil Infant, powder, made with tap water;Enfamil varieties NeuroPro Infant, Premium Infant, Enspire, Reguline;9404;Formula, prepared from powder
11710638;Infant formula, Enfamil Infant, powder, made with bottled water;Enfamil varieties NeuroPro Infant, Premium Infant, Enspire, Reguline;9404;Formula, prepared from powder
11710639;Infant formula, Enfamil Infant, powder, made with baby water;"Enfamil varieties NeuroPro Infant, Premium Infant, Enspire, Reguline; other water";9404;Formula, prepared from powder
11710661;Infant formula, Enfamil AR, ready-to-feed;;9402;Formula, ready-to-feed
11710669;Infant formula, Enfamil AR, powder, made with water;;9404;Formula, prepared from powder
11710671;Infant formula, Enfamil Gentlease, ready-to-feed;Enfamil varieties NeuroPro Gentlease, Premium Gentlease;9402;Formula, ready-to-feed
11710677;Infant formula, Enfamil Gentlease, powder, made with tap water;Enfamil varieties NeuroPro Gentlease, Premium Gentlease;9404;Formula, prepared from powder
11710678;Infant formula, Enfamil Gentlease, powder, made with bottled water;Enfamil varieties NeuroPro Gentlease, Premium Gentlease;9404;Formula, prepared from powder
11710679;Infant formula, Enfamil Gentlease, powder, made with baby water;"Enfamil varieties NeuroPro Gentlease, Premium Gentlease; other water";9404;Formula, prepared from powder
11710689;Toddler formula, Enfamil Enfagrow;"Enfagrow Toddler varieties Transitions, Next Step, Gentlease, Soy; Nutramigen with Enflora LGG Toddler; PurAmino Toddler";9404;Formula, prepared from powder
11710801;Toddler formula, PediaSure;PediaSure varieties Grow and Gain, with Fiber, Sidekicks;9402;Formula, ready-to-feed
11710807;Toddler formula, Nido Kinder;;9404;Formula, prepared from powder
11710810;Toddler formula, store brand, beginning or next stage;Kirkland, Member's Mark, Parent's Choice, Up&Up;9404;Formula, prepared from powder
11710815;Toddler formula, store brand, pediatric shake;Kirkland, Member's Mark, Parent's Choice, Up&Up;9404;Formula, prepared from powder
11710905;Infant formula, Gerber, NFS;NS as to variety;9404;Formula, prepared from powder
11710911;Infant formula, Gerber Good Start Gentle, Stage 1, ready-to-feed;Gerber varieties Soothe Stage 1, Supplementing;9402;Formula, ready-to-feed
11710917;Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with tap water;Gerber varieties Soothe Stage 1, Supplementing;9404;Formula, prepared from powder
11710918;Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with bottled water;Gerber varieties Soothe Stage 1, Supplementing;9404;Formula, prepared from powder
11710919;Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with baby water;"Gerber varieties Soothe Stage 1, Supplementing; other water";9404;Formula, prepared from powder
11710921;Infant formula, Gerber Good Start Gentle, Stage 2;Gerber Good Start Soothe, Stage 2;9404;Formula, prepared from powder
11710930;Toddler formula, Gerber Good Start, Stage 3;Gerber varieties Grow, Soy;9404;Formula, prepared from powder
11710935;Infant formula, premature, powder, made with water;"Enfamil Premature or EnfaCare; Similac Premature or NeoSure";9404;Formula, prepared from powder
11710945;Infant formula, premature, ready-to-feed;"Enfamil Premature or EnfaCare; Similac Premature or NeoSure";9402;Formula, ready-to-feed
11710954;Infant formula, organic, powder, made with water;"store brand; Kirkland, Member's Mark; Parent's Choice; Up&Up; Earth's Best; Nature's One; Pure Bliss; Similac Organic";9404;Formula, prepared from powder
11710955;Infant formula, organic, ready-to-feed;"store brand; Kirkland, Member's Mark; Parent's Choice; Up&Up; Earth's Best; Nature's One; Pure Bliss; Similac Organic";9402;Formula, ready-to-feed
11710967;Infant formula, store brand, advantage or tender, powder, made with tap water;"Kirkland, Member's Mark, Parent's Choice, Up&Up; Supplementation";9404;Formula, prepared from powder
11710968;Infant formula, store brand, advantage or tender, powder, made with bottled water;"Kirkland, Member's Mark, Parent's Choice, Up&Up; Supplementation";9404;Formula, prepared from powder
11710969;Infant formula, store brand, advantage or tender, powder, made with baby water;"Kirkland, Member's Mark, Parent's Choice, Up&Up; Supplementation; other water";9404;Formula, prepared from powder
11710970;Infant formula, store brand, gentle or sensitivity;Kirkland, Member's Mark, Parent's Choice, Up&Up;9404;Formula, prepared from powder
11710980;Infant formula, store brand, added rice;Kirkland, Member's Mark, Parent's Choice, Up&Up;9404;Formula, prepared from powder
11720311;Infant formula, Enfamil ProSobee, ready-to-feed;;9402;Formula, ready-to-feed
11720317;Infant formula, Enfamil ProSobee, powder, made with tap water;;9404;Formula, prepared from powder
11720318;Infant formula, Enfamil ProSobee, powder, made with bottled water;;9404;Formula, prepared from powder
11720319;Infant formula, Enfamil ProSobee, powder, made with baby water;other water;9404;Formula, prepared from powder
11720411;Infant formula, Similac Isomil Soy, ready-to-feed;;9402;Formula, ready-to-feed
11720417;Infant formula, Similac Isomil Soy, powder, made with tap water;;9404;Formula, prepared from powder
11720418;Infant formula, Similac Isomil Soy, powder, made with bottled water;;9404;Formula, prepared from powder
11720419;Infant formula, Similac Isomil Soy, powder, made with baby water;other water;9404;Formula, prepared from powder
11720430;Infant formula, Similac for Diarrhea;;9402;Formula, ready-to-feed
11720611;Infant formula, Gerber Good Start Soy, Stage 1, ready-to-feed;;9402;Formula, ready-to-feed
11720617;Infant formula, Gerber Good Start Soy, Stage 1, powder, made with tap water;;9404;Formula, prepared from powder
11720618;Infant formula, Gerber Good Start Soy, Stage 1, powder, made with bottled water;;9404;Formula, prepared from powder
11720619;Infant formula, Gerber Good Start Soy, Stage 1, powder, made with baby water;other water;9404;Formula, prepared from powder
11720809;Infant formula, store brand, soy;"Kirkland, Member's Mark, Parent's Choice, Up&Up; Supplementation";9404;Formula, prepared from powder
11740311;Infant formula, Enfamil Nutramigen, ready-to-feed;with Enflora LGG;9402;Formula, ready-to-feed
11740313;Infant formula, Enfamil Nutramigen, powder, made with water;with Enflora LGG;9404;Formula, prepared from powder
11740401;Infant formula, Enfamil Pregestimil, ready-to-feed;;9402;Formula, ready-to-feed
11740403;Infant formula, Enfamil Pregestimil, powder, made with water;;9404;Formula, prepared from powder
11740405;Infant formula, amino acids;"EleCare Infant; Enfamil PurAmino";9404;Formula, prepared from powder
11740560;Infant formula, low iron;Similac PM 60/40;9404;Formula, prepared from powder
11810000;Milk, dry, not reconstituted;;9999;Not included in a food category
11825000;Whey, sweet, dry;;9999;Not included in a food category
11830150;Cocoa powder, not reconstituted;no dry milk;9999;Not included in a food category
11830160;Chocolate beverage powder, dry mix, not reconstituted;"all types; hot chocolate / cocoa dry mix";9999;Not included in a food category
11830165;Chocolate beverage powder, light, dry mix, not reconstituted;"reduced calorie; sugar free";9999;Not included in a food category
11830260;Milk, malted, dry mix, not reconstituted;"Ovaltine; NS as to flavor";9999;Not included in a food category
11830400;Strawberry beverage powder, dry mix, not reconstituted;flavors other than chocolate;9999;Not included in a food category
12100100;Cream, NS as to light, heavy, or half and half;;8008;Cream and cream substitutes
12110100;Cream, light;"coffee cream; table cream";8008;Cream and cream substitutes
12120100;Cream, half and half;plain;8008;Cream and cream substitutes
12120106;Cream, half and half, flavored;;8008;Cream and cream substitutes
12120110;Cream, half and half, fat free;"low fat; plain or flavored";8008;Cream and cream substitutes
12130100;Cream, heavy;"whipping cream; NS as to heavy or light";8008;Cream and cream substitutes
12140000;Cream, whipped;"heavy; light; Reddiwip; real whipped cream; plain or flavored";8006;Cream cheese, sour cream, whipped cream
12200100;Coffee creamer, NFS;;8008;Cream and cream substitutes
12210200;Coffee creamer, liquid;"frozen; Coffee Mate; Carnation; Coffee Rich; Dunkin Donuts; International Delight; plain";8008;Cream and cream substitutes
12210210;Coffee creamer, liquid, flavored;"Coffee Mate; Bailey's; Bliss; Carnation; Coffee Rich; Dunkin Donuts; International Delight; Mocha Mix";8008;Cream and cream substitutes
12210260;Coffee creamer, liquid, fat free;"low fat; light; lite; Coffee Mate; Carnation; Coffee Rich; Dunkin Donuts; International Delight; plain";8008;Cream and cream substitutes
12210270;Coffee creamer, liquid, fat free, flavored;"light; lite; Coffee Mate; low fat; Carnation; Coffee Rich; Dunkin Donuts; International Delight; Mocha Mix";8008;Cream and cream substitutes
12210280;Coffee creamer, liquid, fat free, sugar free, flavored;"low fat; light; lite; Coffee Mate; Carnation; International Delight; Mocha Mix";8008;Cream and cream substitutes
12210310;Coffee creamer, liquid, sugar free, flavored;"Coffee Mate; Carnation; International Delight; Mocha Mix";8008;Cream and cream substitutes
12210400;Coffee creamer, powder;"Coffee Mate; Cremora; Carnation; plain";8008;Cream and cream substitutes
12210420;Coffee creamer, powder, flavored;"Coffee Mate powder, flavored; Carnation";8008;Cream and cream substitutes
12210430;Coffee creamer, powder, fat free;"light; low fat; Coffee Mate; Carnation; Cremora; plain; flavored";8008;Cream and cream substitutes
12210505;Coffee creamer,powder, sugar free, flavored;"fat free; light; lite; low fat; Coffee Mate; Carnation";8008;Cream and cream substitutes
12210520;Coffee creamer, soy, liquid;"almond; Silk; So Delicious; coconut milk creamer";8008;Cream and cream substitutes
12220200;Whipped topping;"Cool Whip; non-dairy; plain or flavored; frozen; Rich's Richwhip; Dream Whip; whipped topping, NFS";8006;Cream cheese, sour cream, whipped cream
12220270;Whipped topping, fat free;"light; lite; non-dairy; low fat; Cool Whip; Rich's Richwhip; plain or flavored; fat free and sugar free; frozen";8006;Cream cheese, sour cream, whipped cream
12220280;Whipped topping, sugar free;"Cool Whip; non-dairy; plain or flavored; frozen; Rich's Richwhip";8006;Cream cheese, sour cream, whipped cream
12310100;Sour cream, regular;;8006;Cream cheese, sour cream, whipped cream
12310350;Sour cream, light;"low fat; reduced fat";8006;Cream cheese, sour cream, whipped cream
12310370;Sour cream, fat free;nonfat;8006;Cream cheese, sour cream, whipped cream
12320100;Sour cream, imitation;nondairy;8006;Cream cheese, sour cream, whipped cream
12350010;Dip, NFS;NS as to kind of dip;8412;Dips, gravies, other sauces
12350200;Chipotle dip, regular;"jalapeno dip; Southwest dip";8412;Dips, gravies, other sauces
12350205;Chipotle dip, light;"jalapeno dip; Southwest dip; fat free; low fat; nonfat; reduced fat";8412;Dips, gravies, other sauces
12350220;Onion dip, regular;"French onion dip; toasted onion dip; green onion dip";8412;Dips, gravies, other sauces
12350225;Onion dip, light;"French onion dip; toasted onion dip; green onion dip; fat free; low fat; nonfat; reduced fat";8412;Dips, gravies, other sauces
12350230;Ranch dip, regular;;8412;Dips, gravies, other sauces
12350235;Ranch dip, light;"fat free; low fat; nonfat; reduced fat";8412;Dips, gravies, other sauces
12350240;Spinach dip, regular;;8412;Dips, gravies, other sauces
12350245;Spinach dip, light;"fat free; low fat; nonfat; reduced fat";8412;Dips, gravies, other sauces
12350250;Vegetable dip, regular;dill;8412;Dips, gravies, other sauces
12350255;Vegetable dip, light;"fat free; low fat; nonfat; reduced fat; dill";8412;Dips, gravies, other sauces
13110000;Ice cream, NFS;NS as to flavor;5802;Ice cream and frozen dairy desserts
13110100;Ice cream, vanilla;"other flavors; swirl; in a cup; scoop";5802;Ice cream and frozen dairy desserts
13110102;Ice cream, vanilla, with additional ingredients;"nuts, candy, cookies, chocolate or other ingredients within the ice cream; other flavors; swirl; in a cup; scoop";5802;Ice cream and frozen dairy desserts
13110110;Ice cream, chocolate;"in a cup; scoop";5802;Ice cream and frozen dairy desserts
13110112;Ice cream, chocolate, with additional ingredients;"nuts, candy, cookies, chocolate, or other ingredients within the ice cream; in a cup; scoop";5802;Ice cream and frozen dairy desserts
13110200;Ice cream, soft serve, vanilla;"soft serve, NFS; frozen custard, NFS; other flavors; swirl; NS as to ice cream or frozen yogurt; in a cup";5802;Ice cream and frozen dairy desserts
13110210;Ice cream, soft serve, chocolate;"frozen custard; NS as to ice cream or frozen yogurt; in a cup";5802;Ice cream and frozen dairy desserts
13110460;Gelato, vanilla;"other flavors; swirl";5802;Ice cream and frozen dairy desserts
13110470;Gelato, chocolate;;5802;Ice cream and frozen dairy desserts
13120050;Ice cream bar, vanilla;"stick; other flavors; coatings other than chocolate";5802;Ice cream and frozen dairy desserts
13120100;Ice cream bar, vanilla, chocolate coated;"ice cream bar, NFS; stick; other flavors; Klondike bar, NFS; Dove Bar, NFS; with nuts";5802;Ice cream and frozen dairy desserts
13120110;Ice cream candy bar;"all flavors; light ice cream candy bar; Snickers; Butterfinger";5802;Ice cream and frozen dairy desserts
13120140;Ice cream bar, chocolate;"stick; Klondike Bar; Dove Bar; with nuts; with or without chocolate coating";5802;Ice cream and frozen dairy desserts
13120500;Ice cream sandwich, vanilla;"other flavors; NS as to flavor";5802;Ice cream and frozen dairy desserts
13120510;Ice cream sandwich, chocolate;;5802;Ice cream and frozen dairy desserts
13120550;Ice cream cookie sandwich;Chipwich;5802;Ice cream and frozen dairy desserts
13120730;Ice cream cone, scooped, vanilla;"other flavors; swirl";5802;Ice cream and frozen dairy desserts
13120735;Ice cream cone, scooped, vanilla, waffle cone;"other flavors; swirl";5802;Ice cream and frozen dairy desserts
13120740;Ice cream cone, NFS;;5802;Ice cream and frozen dairy desserts
13120770;Ice cream cone, scooped, chocolate;;5802;Ice cream and frozen dairy desserts
